"STT","Loại (Type)","Câu hỏi (Q)","Câu trả lời (A)","","","","","","","","","","","","","","","","","","","","","",""
"1","Trồng trọt","Dấu hiệu lúa bị đạo ôn là gì?","Lá xuất hiện vết bệnh hình thoi, tâm trắng xám, viền nâu, lan nhanh khi thời tiết ẩm.","","","","","","","","","","","","","","","","","","","","","",""
"2","Trồng trọt","Làm sao xử lý lúa bị vàng lá sinh lý?","Bổ sung phân kali, không bón thừa đạm và giữ ruộng thoát nước tốt.","","","","","","","","","","","","","","","","","","","","","",""
"3","Trồng trọt","Nguyên nhân đất ruộng bị chua?","Do bón nhiều phân đạm, phèn trong đất hoặc nước tưới có pH thấp.","","","","","","","","","","","","","","","","","","","","","",""
"4","Trồng trọt","Cách cải tạo đất chua?","Bón vôi 50–70 kg/sào, kết hợp phơi ải và sử dụng phân hữu cơ.","","","","","","","","","","","","","","","","","","","","","",""
"5","Chăn nuôi","Vì sao lợn con hay tiêu chảy?","Do nhiễm khuẩn E.coli, thay đổi thức ăn đột ngột hoặc chuồng nuôi ẩm lạnh.","","","","","","","","","","","","","","","","","","","","","",""
"6","Chăn nuôi","Làm sao phòng tiêu chảy ở lợn con?","Giữ chuồng khô, ấm; tiêm phòng đầy đủ; vệ sinh nguồn nước và thức ăn.","","","","","","","","","","","","","","","","","","","","","",""
"7","Chăn nuôi","Bệnh tắc nghẽn ở gà là gì?","Là tình trạng gà ăn phải dị vật, thức ăn vón cục làm tắc diều.","","","","","","","","","","","","","","","","","","","","","",""
"8","Chăn nuôi","Cách chữa tắc diều cho gà?","Massage nhẹ diều, cho uống men tiêu hóa, nặng thì cần phẫu thuật.","","","","","","","","","","","","","","","","","","","","","",""
"9","Trồng trọt","Tại sao cây mít bị xì mủ?","Do nấm Phytophthora, đất úng nước hoặc côn trùng làm tổn thương thân.","","","","","","","","","","","","","","","","","","","","","",""
"10","Trồng trọt","Khắc phục bệnh xì mủ mít thế nào?","Quét thuốc gốc đồng lên vết bệnh, cải tạo thoát nước và tỉa cành thông thoáng.","","","","","","","","","","","","","","","","","","","","","",""
"11","Trồng trọt","Dấu hiệu cây thanh long thiếu kali?","Tai trái mỏng, màu nhạt, trái nhỏ và chín không đều.","","","","","","","","","","","","","","","","","","","","","",""
"12","Trồng trọt","Bón phân cho cà phê theo giai đoạn ra sao?","Sau thu hoạch – nuôi cành; trước ra hoa – đạm & kali; sau đậu trái – kali nhiều hơn.","","","","","","","","","","","","","","","","","","","","","",""
"13","Trồng trọt","Cách nhận biết bọ trĩ trên xoài?","Lá non xoăn, chùi bóng, đọt cháy nhẹ, trái bị sẹo li ti.","","","","","","","","","","","","","","","","","","","","","",""
"14","Trồng trọt","Làm sao giảm sâu cuốn lá hại lúa?","Gieo sạ thưa, giữ mực nước ổn định, kết hợp bẫy đèn và thuốc sinh học.","","","","","","","","","","","","","","","","","","","","","",""
"15","Trồng trọt","Vì sao dưa hấu bị nứt trái?","Tưới nước không đều, thiếu canxi hoặc gặp mưa đột ngột khi gần thu hoạch.","","","","","","","","","","","","","","","","","","","","","",""
"16","Trồng trọt","Cách hạn chế nứt trái dưa hấu?","Tưới đều, bón vôi/Canxi-Bo, che phủ đất bằng rơm hoặc màng phủ.","","","","","","","","","","","","","","","","","","","","","",""
"17","Trồng trọt","Nguyên nhân ớt bị rụng hoa?","Thiếu vi lượng, nhiệt độ cao, gió mạnh hoặc ngập úng.","","","","","","","","","","","","","","","","","","","","","",""
"18","Trồng trọt","Cách kích thích ớt đậu trái tốt?","Bón Bo, giữ ẩm ổn định, phun phân bón lá chứa vi lượng.","","","","","","","","","","","","","","","","","","","","","",""
"19","Trồng trọt","Bệnh phấn trắng trên dưa leo là gì?","Nấm tạo lớp bột trắng trên lá, làm lá vàng và giảm năng suất.","","","","","","","","","","","","","","","","","","","","","",""
"20","Trồng trọt","Điều kiện gây bệnh phấn trắng mạnh?","Trời mát, ẩm nhẹ, vườn trồng dày và thiếu ánh sáng.","","","","","","","","","","","","","","","","","","","","","",""
"21","Chăn nuôi","Cách nhận biết heo bị viêm phổi?","Ho khan, thở khó, nằm tụm, lười ăn, sốt cao.","","","","","","","","","","","","","","","","","","","","","",""
"22","Chăn nuôi","Phòng bệnh viêm phổi ở heo?","Chuồng thông thoáng, tránh gió lùa, tiêm vaccine đầy đủ.","","","","","","","","","","","","","","","","","","","","","",""
"23","Chăn nuôi","Vì sao gà bị tụ huyết trùng?","Do vi khuẩn Pasteurella multocida khi thời tiết thay đổi đột ngột.","","","","","","","","","","","","","","","","","","","","","",""
"24","Chăn nuôi","Cách xử lý gà nhiễm tụ huyết trùng?","Dùng kháng sinh đặc trị, bổ sung điện giải và sát trùng chuồng trại.","","","","","","","","","","","","","","","","","","","","","",""
"25","Trồng trọt","Nấm hồng trên cây tiêu là gì?","Nấm tấn công dây tiêu tạo mảng hồng, làm khô chết dây.","","","","","","","","","","","","","","","","","","","","","",""
"26","Trồng trọt","Biện pháp trị nấm hồng?","Cắt bỏ dây bệnh, phun thuốc gốc đồng hoặc Validamycin.","","","","","","","","","","","","","","","","","","","","","",""
"27","Trồng trọt","Lúa bị lem lép hạt do đâu?","Nấm Curvularia và Helminthosporium gây khi gặp ẩm độ cao lúc trổ bông.","","","","","","","","","","","","","","","","","","","","","",""
"28","Trồng trọt","Cách giảm lem lép hạt lúa?","Phun thuốc phòng trước – sau trổ 5–7 ngày, giữ ruộng thông thoáng.","","","","","","","","","","","","","","","","","","","","","",""
"29","Chăn nuôi","Bệnh lở mồm long móng ở bò có nguy hiểm không?","Rất nguy hiểm, lây nhanh qua tiếp xúc và làm giảm năng suất sữa.","","","","","","","","","","","","","","","","","","","","","",""
"30","Chăn nuôi","Phòng bệnh lở mồm long móng?","Tiêm vaccine định kỳ, khử trùng chuồng trại, cách ly gia súc mới nhập.","","","","","","","","","","","","","","","","","","","","","",""
"31","Trồng trọt","Ý nghĩa của việc luân canh cây trồng là gì?","Giảm áp lực sâu bệnh, cải tạo đất, và cân bằng dinh dưỡng.","","","","","","","","","","","","","","","","","","","","","",""
"32","Trồng trọt","Biện pháp canh tác nào giúp phòng trừ sâu bệnh hiệu quả?","Làm đất kỹ, vệ sinh đồng ruộng, gieo trồng đúng thời vụ và bón phân cân đối.","","","","","","","","","","","","","","","","","","","","","",""
"33","Trồng trọt","Nguyên tắc ""4 đúng"" khi sử dụng thuốc bảo vệ thực vật là gì?","Đúng thuốc, đúng liều lượng, đúng thời điểm, đúng cách.","","","","","","","","","","","","","","","","","","","","","",""
"34","Chăn nuôi","Cách nhận biết bò bị sán lá gan?","Bò gầy yếu, thiếu máu, niêm mạc nhợt nhạt và phù dưới hàm (phù yếm).","","","","","","","","","","","","","","","","","","","","","",""
"35","Chăn nuôi","Thức ăn nào giúp gà đẻ trứng tốt hơn?","Thức ăn giàu protein, canxi (vỏ sò, vỏ trứng) và vitamin D.","","","","","","","","","","","","","","","","","","","","","",""
"36","Trồng trọt","Cây trồng cần nguyên tố đa lượng nào nhất?","Nitơ (N), Photpho (P), Kali (K).","","","","","","","","","","","","","","","","","","","","","",""
"37","Trồng trọt","Dấu hiệu cây trồng thiếu Nitơ (Đạm)?","Lá già chuyển vàng, cây sinh trưởng kém, còi cọc.","","","","","","","","","","","","","","","","","","","","","",""
"38","Trồng trọt","Phân hữu cơ khác gì phân vô cơ?","Phân hữu cơ có nguồn gốc tự nhiên, cung cấp dinh dưỡng từ từ, cải tạo đất. Phân vô cơ là hóa chất, tác dụng nhanh.","","","","","","","","","","","","","","","","","","","","","",""
"39","Trồng trọt","Làm thế nào để tăng tỷ lệ đậu quả cho cây ăn trái?","Thụ phấn bổ sung (thủ công), kiểm soát sâu bệnh, và bón Bo, Canxi trước và trong khi ra hoa.","","","","","","","","","","","","","","","","","","","","","",""
"40","Trồng trọt","Bệnh khảm (virus) trên cây trồng có thể lây lan qua đâu?","Qua côn trùng chích hút (rầy, rệp), công cụ làm vườn hoặc hạt giống.","","","","","","","","","","","","","","","","","","","","","",""
"41","Trồng trọt","Phòng bệnh nấm mốc trong kho bảo quản nông sản bằng cách nào?","Giữ kho khô ráo, thông thoáng, khử trùng và kiểm soát nhiệt độ.","","","","","","","","","","","","","","","","","","","","","",""
"42","Trồng trọt","Bệnh xoăn lá trên cà chua thường do loại côn trùng nào truyền?","Bọ phấn (Bạch tạng).","","","","","","","","","","","","","","","","","","","","","",""
"43","Chăn nuôi","Biện pháp xử lý nước cho chăn nuôi hợp lý?","Dùng Chlorine, Iodine hoặc TCCA để diệt khuẩn, định kỳ kiểm tra pH.","","","","","","","","","","","","","","","","","","","","","",""
"44","Trồng trọt","Tại sao cần phải ủ phân chuồng trước khi bón?","Để tiêu diệt mầm bệnh, hạt cỏ dại và làm phân dễ hấp thụ hơn.","","","","","","","","","","","","","","","","","","","","","",""
"45","Trồng trọt","Lợi ích của tưới nhỏ giọt là gì?","Tiết kiệm nước, cung cấp nước và dinh dưỡng trực tiếp vào gốc cây, giảm bệnh nấm.","","","","","","","","","","","","","","","","","","","","","",""
"46","Trồng trọt","Làm thế nào để phân biệt bệnh bạc lá và bệnh khô vằn trên lúa?","Bạc lá: vết bệnh từ chóp lá, lan dọc theo gân lá; Khô vằn: vết vằn vện như da hổ ở bẹ lá, sát mặt nước.","","","","","","","","","","","","","","","","","","","","","",""
"47","Chăn nuôi","Tại sao lợn nái mang thai cần bổ sung Canxi?","Để nuôi thai và dự trữ Canxi cho giai đoạn tiết sữa, phòng bại liệt sau sinh.","","","","","","","","","","","","","","","","","","","","","",""
"48","Trồng trọt","Dấu hiệu cây có múi bị bệnh vàng lá gân xanh (Greening)?","Gân lá chuyển màu vàng, lá nhỏ, cây còi cọc và quả méo mó.","","","","","","","","","","","","","","","","","","","","","",""
"49","Chăn nuôi","Cách phòng bệnh cầu trùng ở gia cầm?","Giữ chuồng khô ráo, sử dụng thuốc phòng định kỳ và vệ sinh máng ăn, máng uống.","","","","","","","","","","","","","","","","","","","","","",""
"50","Trồng trọt","Mục đích của việc cắt tỉa cành cho cây ăn quả là gì?","Loại bỏ cành sâu bệnh, tạo tán thông thoáng, tập trung dinh dưỡng nuôi quả.","","","","","","","","","","","","","","","","","","","","","",""
"51","Trồng trọt","Bệnh nấm thối rễ trên cây công nghiệp (tiêu, cà phê) thường do nguyên nhân nào?","Đất úng nước, độ ẩm cao kéo dài, và tuyến trùng.","","","","","","","","","","","","","","","","","","","","","",""
"52","Trồng trọt","Làm thế nào để xác định thời điểm thu hoạch lúa tốt nhất?","Khi 85-90% số hạt trên bông đã chín vàng.","","","","","","","","","","","","","","","","","","","","","",""
"53","Trồng trọt","Cây trồng cần Canxi để làm gì?","Giúp thành tế bào vững chắc, tăng sức đề kháng và hạn chế nứt trái.","","","","","","","","","","","","","","","","","","","","","",""
"54","Chăn nuôi","Dấu hiệu phân biệt cúm gia cầm và NewCastle (Gà rù)?","Cúm gia cầm: xuất huyết, phù đầu mặt, chết nhanh; NewCastle: triệu chứng thần kinh (quay đầu, liệt chân).","","","","","","","","","","","","","","","","","","","","","",""
"55","Trồng trọt","Biện pháp sinh học phòng trừ sâu bệnh là gì?","Sử dụng thiên địch (ong ký sinh, kiến vàng) hoặc chế phẩm vi sinh (nấm đối kháng, Bt).","","","","","","","","","","","","","","","","","","","","","",""
"56","Trồng trọt","Bệnh gỉ sắt trên cây cà phê gây hại ở bộ phận nào?","Chủ yếu ở mặt dưới lá, tạo thành các đốm phấn màu vàng cam như gỉ sắt.","","","","","","","","","","","","","","","","","","","","","",""
"57","Trồng trọt","Lợi ích của việc nuôi kiến vàng trong vườn cây có múi?","Kiến vàng săn mồi, giúp kiểm soát bọ xít, sâu vẽ bùa và rệp.","","","","","","","","","","","","","","","","","","","","","",""
"58","Trồng trọt","Vai trò của nguyên tố Bo đối với cây trồng là gì?","Kích thích hạt phấn nảy mầm, tăng tỷ lệ đậu trái, chống rụng hoa, rụng trái non.","","","","","","","","","","","","","","","","","","","","","",""
"59","Trồng trọt","Khi nào thì cần bón phân thúc cho cây trồng?","Khi cây chuyển từ giai đoạn sinh trưởng dinh dưỡng sang sinh trưởng sinh sản (ra hoa, kết trái).","","","","","","","","","","","","","","","","","","","","","",""
"60","Chăn nuôi","Cách phòng bệnh dịch tả lợn cổ điển?","Tiêm vaccine đầy đủ và vệ sinh, tiêu độc chuồng trại.","","","","","","","","","","","","","","","","","","","","","",""
"61","Trồng trọt","Tại sao phải ủ hạt giống lúa trước khi gieo sạ?","Để hạt hút đủ nước, nảy mầm đồng loạt và tăng khả năng chống chịu.","","","","","","","","","","","","","","","","","","","","","",""
"62","Trồng trọt","Bệnh đốm đen (thán thư) trên xoài gây hại thế nào?","Tạo vết bệnh màu đen trên lá, hoa, và quả, làm rụng hoa, thối quả.","","","","","","","","","","","","","","","","","","","","","",""
"63","Chăn nuôi","Nguyên nhân phổ biến gây bệnh E.coli ở bê nghé là gì?","Chuồng trại ẩm ướt, không vệ sinh, và thức ăn, nước uống bị nhiễm khuẩn.","","","","","","","","","","","","","","","","","","","","","",""
"64","Trồng trọt","Phương pháp nào giúp tiêu diệt mầm bệnh trong đất trước khi trồng?","Xử lý vôi, phơi ải đất, hoặc dùng che phủ nilon để hấp nhiệt (hun trùng).","","","","","","","","","","","","","","","","","","","","","",""
"65","Trồng trọt","Vai trò của hệ thống tưới phun mưa cho cây rau màu?","Cung cấp độ ẩm nhanh, làm mát, rửa trôi bớt trứng sâu và bụi bẩn trên lá.","","","","","","","","","","","","","","","","","","","","","",""
"66","Chăn nuôi","Cách xử lý khi gà bị bệnh CRD (hen khò khè)?","Dùng kháng sinh đặc trị nhóm Macrolide hoặc Tetracycline, giữ ấm chuồng.","","","","","","","","","","","","","","","","","","","","","",""
"67","Trồng trọt","Dấu hiệu cây sầu riêng bị nứt thân, xì mủ?","Thân cây có vết nứt chảy nhựa màu đỏ nâu, lá vàng rụng.","","","","","","","","","","","","","","","","","","","","","",""
"68","Trồng trọt","Phân chuồng ủ chưa hoai mục có tác hại gì?","Gây nóng rễ, mang theo mầm bệnh, hạt cỏ dại và hấp dẫn côn trùng.","","","","","","","","","","","","","","","","","","","","","",""
"69","Trồng trọt","Bệnh đạo ôn cổ bông gây hại vào thời điểm nào của cây lúa?","Giai đoạn trổ bông và sau trổ.","","","","","","","","","","","","","","","","","","","","","",""
"70","Trồng trọt","Khi đất thiếu Canxi, trái cây thường bị triệu chứng gì?","Thối đít trái (cà chua, ớt), nứt trái (dưa hấu).","","","","","","","","","","","","","","","","","","","","","",""
"71","Chăn nuôi","Cách phòng bệnh tiêu chảy ở trâu bò trưởng thành?","Cung cấp thức ăn sạch, không cho ăn cỏ úng nước, định kỳ tẩy giun sán.","","","","","","","","","","","","","","","","","","","","","",""
"72","Trồng trọt","Dấu hiệu nhận biết lúa bị rầy nâu gây hại nặng?","Cây lúa bị cháy khô thành từng đám (hiện tượng cháy rầy).","","","","","","","","","","","","","","","","","","","","","",""
"73","Trồng trọt","Bón phân cân đối là gì?","Cung cấp đủ và đúng tỷ lệ các chất dinh dưỡng đa, trung, vi lượng theo nhu cầu từng giai đoạn của cây.","","","","","","","","","","","","","","","","","","","","","",""
"74","Trồng trọt","Lợi ích của việc dùng bẫy đèn trong vườn cây ăn quả?","Thu hút và tiêu diệt côn trùng trưởng thành, đặc biệt là bướm đêm (gây sâu đục quả).","","","","","","","","","","","","","","","","","","","","","",""
"75","Chăn nuôi","Nguyên tắc cơ bản trong chăn nuôi an toàn sinh học là gì?","Cách ly, vệ sinh, sát trùng và tiêm phòng.","","","","","","","","","","","","","","","","","","","","","",""
"76","Trồng trọt","Tại sao cần phải tỉa thưa trái non trên cây ăn quả?","Loại bỏ trái yếu, tập trung dinh dưỡng nuôi trái còn lại đạt chất lượng cao.","","","","","","","","","","","","","","","","","","","","","",""
"77","Trồng trọt","Bệnh đốm nâu (nám) trên thanh long là do tác nhân nào?","Nấm Botryosphaeria dothidea.","","","","","","","","","","","","","","","","","","","","","",""
"78","Chăn nuôi","Làm thế nào để giảm mùi hôi chuồng trại chăn nuôi?","Sử dụng men vi sinh (EM), dọn dẹp phân thường xuyên, và giữ chuồng thông thoáng.","","","","","","","","","","","","","","","","","","","","","",""
"79","Trồng trọt","Thủy canh là phương pháp trồng trọt như thế nào?","Trồng cây trong dung dịch dinh dưỡng pha sẵn, không cần đất.","","","","","","","","","","","","","","","","","","","","","",""
